Confound,TP,Model,Accuracy Baseline-CB,Accuracy CB,Accuracy Diff CB - BL
BIS & NEO Consc & NEO Extro,FU2,Kernel SVM,0.7379595392163835,0.6025910189859915,-0.1353685202303919
NEO Consc & NEO Extro,BL,Linear Regression,0.5871812217362296,0.6042913052610769,0.0171100835248473
NEO Consc & NEO Extro,BL,Linear SVM,0.6090822460276275,0.6306810178664096,0.0215987718387821
NEO Consc & NEO Extro,BL,Gradient Boosting,0.6797168062866038,0.6457029802060938,-0.0340138260805099
NEO Consc & NEO Extro,BL,Kernel SVM,0.7029976585860084,0.6714843267353646,-0.0315133318506437
NEO_Conscientiousness mean,BL,Linear Regression,0.5871812217362296,0.5950683581683842,0.0078871364321546
NEO_Conscientiousness mean,BL,Linear SVM,0.6090822460276275,0.6071406948871919,-0.0019415511404355
NEO_Conscientiousness mean,BL,Gradient Boosting,0.6797168062866038,0.679440809795636,-0.0002759964909677
NEO_Conscientiousness mean,BL,Kernel SVM,0.7029976585860084,0.7014243086959746,-0.0015733498900337
NEO_Extroversion mean,BL,Linear Regression,0.5871812217362296,0.6195654792794129,0.0323842575431833
NEO_Extroversion mean,BL,Linear SVM,0.6090822460276275,0.61985197815504,0.0107697321274125
NEO_Extroversion mean,BL,Gradient Boosting,0.6797168062866038,0.6941456927867151,0.0144288865001113
NEO_Extroversion mean,BL,Kernel SVM,0.7029976585860084,0.6794448254132996,-0.0235528331727087
BIS & NEO Consc & NEO Extro,FU3,Linear Regression,0.6238911744031395,0.5302078328942111,-0.0936833415089283
BIS & NEO Consc & NEO Extro,FU3,Linear SVM,0.6543363102612988,0.5287129000773731,-0.1256234101839256
BIS & NEO Consc & NEO Extro,FU3,Gradient Boosting,0.6780094617761439,0.5751711817864603,-0.1028382799896835
BIS & NEO Consc & NEO Extro,FU3,Kernel SVM,0.6929384352417026,0.5933137961900042,-0.0996246390516983
BIS & PSS & NEO Extro,FU3,Linear Regression,0.6238911744031395,0.5108941909448123,-0.1129969834583272
BIS & PSS & NEO Extro,FU3,Linear SVM,0.6543363102612988,0.5242194413961555,-0.1301168688651433
BIS & PSS & NEO Extro,FU3,Gradient Boosting,0.6780094617761439,0.5256858649863713,-0.1523235967897726
